model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,normal,education,high school,14.0,486,0.017602215580533414,-0.0014932221208528162,0.06323053049895441,0.0414827178138395,-0.045628314918420995,-0.01838345500000005,0.12551440329218108,0.0
mistral,normal,education,high school,16.0,486,0.02279799210806307,0.000740033675153684,0.06833662886513579,0.044086107777469616,-0.04553863675707274,-0.018383454999999826,0.12345679012345678,0.0
mistral,normal,education,high school,18.0,486,0.02414405337130178,0.0005034072740051077,0.06966502499008005,0.04465826194666998,-0.04552097161877827,-0.01857191000000008,0.12345679012345678,0.0
mistral,normal,education,high school,20.0,486,0.026248366802776053,0.0019320914239436549,0.07173161200776154,0.0472290978932301,-0.0454832452049855,-0.01857191000000008,0.12345679012345678,0.0
mistral,normal,education,college and more,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,education,college and more,2.0,486,-0.2367638077207807,-0.24248484941848886,-0.3289195371350933,-0.31586930728912516,0.09215572941431263,0.056802154569181806,-0.2736625514403292,0.0
mistral,normal,education,college and more,4.0,486,-0.20065141041510912,-0.19826036033729655,-0.3064778072123136,-0.29039139091012633,0.10582639679720453,0.0747890703047,-0.3220164609053498,0.0
mistral,normal,education,college and more,6.0,486,-0.18856772291517937,-0.18298048092286973,-0.29774103076014413,-0.2834252343365491,0.10917330784496476,0.07865392886980135,-0.3343621399176955,0.0
mistral,normal,education,college and more,8.0,486,-0.18200849089441154,-0.17907246047772324,-0.29264574275452576,-0.2793100695909824,0.11063725186011421,0.07973734500000013,-0.33641975308641975,0.0
mistral,normal,education,college and more,10.0,486,-0.1774888831947277,-0.17808534636781737,-0.2888760560475301,-0.2761077481840433,0.11138717285280243,0.080815930071377,-0.3405349794238683,0.0
mistral,normal,education,college and more,12.0,486,-0.17597814489030023,-0.17650165856929567,-0.28810030275266807,-0.2767786007547627,0.11212215786236783,0.08227927657872039,-0.3425925925925926,0.0
mistral,normal,education,college and more,14.0,486,-0.1733543221938066,-0.17593616268867074,-0.285907564774944,-0.2703073894219072,0.11255324258113741,0.08203893808915255,-0.3446502057613169,0.0
mistral,normal,education,college and more,16.0,486,-0.17238122319641538,-0.174762635207791,-0.28526118829791436,-0.2712081962895767,0.112879965101499,0.08331896441322503,-0.3425925925925926,0.0
