qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GUNRESPNOKIDSA_W26,gender,female,Female,declared,,0.3015892011593353,0.1922522205651895
GUNRESPNOKIDSA_W26,age,adult,30-49,declared,,0.8604519300000001,0.38946298
GUNRESPNOKIDSA_W26,age,older_adult,65+,declared,,0.6900435270452284,0.3810809490902835
GUNRESPNOKIDSA_W26,education,some schooling,Less than high school,declared,,1.24027147,0.57047315
GUNRESPNOKIDSA_W26,education,high school,High school graduate,declared,,0.39947924765077747,0.2655993217504532
GUNRESPNOKIDSA_W26,education,college and more,College graduate/some postgrad,declared,,0.6381364324572093,0.31944202243905273
GUNRESPNOKIDSA_W26,socioeco,low,"Less than $30,000",declared,,0.24632902122932032,0.16732052903295244
GUNRESPNOKIDSA_W26,socioeco,mid,"$50,000-$75,000",declared,,0.6647772994015311,0.3827662389927276
GUNRESPNOKIDSA_W26,socioeco,high,"$100,000 or more",declared,,0.9152222262950356,0.40852424643004404
GUNRESPNOKIDSB_W26,gender,male,Male,declared,,0.33121710755525297,0.28097067540003956
GUNRESPNOKIDSB_W26,gender,female,Female,declared,,0.41910936244064856,0.29206757810769696
GUNRESPNOKIDSB_W26,age,adult,30-49,declared,,0.4127798410569304,0.24941814213504312
GUNRESPNOKIDSB_W26,age,older_adult,65+,declared,,0.44058760610340264,0.293336924601632
GUNRESPNOKIDSB_W26,education,some schooling,Less than high school,declared,,1.045296228373139,0.4527505309680953
GUNRESPNOKIDSB_W26,education,high school,High school graduate,declared,,0.2424442224337791,0.19970755209595184
GUNRESPNOKIDSB_W26,education,college and more,College graduate/some postgrad,declared,,0.6942082422335023,0.3735204265876194
GUNRESPNOKIDSB_W26,socioeco,low,"Less than $30,000",declared,,0.5137044791521728,0.33833034269919054
GUNRESPNOKIDSB_W26,socioeco,mid,"$50,000-$75,000",declared,,0.7156310618032004,0.4270373672464762
GUNRESPNOKIDSB_W26,socioeco,high,"$100,000 or more",declared,,1.0292261359321981,0.4799257686693181
GUNRESPNOKIDSC_W26,gender,male,Male,declared,,0.3595563399999999,0.25023080000000003
GUNRESPNOKIDSC_W26,gender,female,Female,declared,,0.22541896004503292,0.1527687547705374
GUNRESPNOKIDSC_W26,age,adult,30-49,declared,,1.0228914460406324,0.4599899047741256
GUNRESPNOKIDSC_W26,age,older_adult,65+,declared,,0.9141222512358091,0.491041503360409
GUNRESPNOKIDSC_W26,education,some schooling,Less than high school,declared,,1.410725209107193,0.592255379187802
GUNRESPNOKIDSC_W26,education,high school,High school graduate,declared,,0.5074953503663083,0.3559920728934805
GUNRESPNOKIDSC_W26,education,college and more,College graduate/some postgrad,declared,,0.3909156611241319,0.21753330442763696
GUNRESPNOKIDSC_W26,socioeco,low,"Less than $30,000",declared,,0.25099848501844224,0.16859448077804423
GUNRESPNOKIDSC_W26,socioeco,mid,"$50,000-$75,000",declared,,1.4082810399999999,0.69254446
GUNRESPNOKIDSC_W26,socioeco,high,"$100,000 or more",declared,,0.8656806432386546,0.40946190979330016
GUNRESPNOKIDSD_W26,gender,male,Male,declared,,1.0726889043462866,0.5666427463365064
GUNRESPNOKIDSD_W26,gender,female,Female,declared,,0.77271043,0.43861579
GUNRESPNOKIDSD_W26,age,adult,30-49,declared,,0.24028102189320552,0.23669827567527624
GUNRESPNOKIDSD_W26,age,older_adult,65+,declared,,0.20155226069904897,0.20155226069904905
GUNRESPNOKIDSD_W26,education,some schooling,Less than high school,declared,,0.44230962298400617,0.215014599437971
GUNRESPNOKIDSD_W26,education,high school,High school graduate,declared,,0.2870171353611227,0.22683394660800374
GUNRESPNOKIDSD_W26,education,college and more,College graduate/some postgrad,declared,,0.20667473206674722,0.20667473206674725
