attribute,class_label,group,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,total_variation_mean,total_variation_median,total_variation_std,channel,magnitude
socioeco,mid,"$50,000-$75,000",494,0.5787088264707743,0.5263644401463026,0.4034708282173036,0.3587850095184933,0.35485328973385405,0.167924874027846,steered,5.0
socioeco,mid,"$50,000-$75,000",494,0.5156248256091722,0.44999435958625555,0.3533049840314986,0.3175788535882089,0.30861447118351587,0.149131622702866,steered,7.0
socioeco,mid,"$50,000-$75,000",494,0.46925523021917803,0.4097739057523429,0.31286295585964796,0.29857787093555527,0.28736094422567304,0.1353884991179806,steered,9.0
socioeco,mid,"$50,000-$75,000",494,0.4117068706310506,0.3486763600155395,0.2683471930695577,0.27595826332804607,0.2607084449979784,0.12140520857833885,steered,13.0
socioeco,high,"$100,000 or more",494,0.610579771517153,0.5496391906743621,0.4020992226897923,0.4276794600195555,0.4276352255847351,0.18123621715488053,steered,0.0
socioeco,high,"$100,000 or more",494,0.6172186085864607,0.5456693615486405,0.4131347068754183,0.4290404725549929,0.42113767982698835,0.18529514210120632,steered,1.0
socioeco,high,"$100,000 or more",494,0.5962399164068195,0.48334966072060637,0.42340353183707935,0.40357879455580686,0.38251344,0.19405131412581583,steered,3.0
socioeco,high,"$100,000 or more",494,0.5468512223670018,0.4391947731608412,0.39542970120178533,0.36429570188851623,0.33399538828848657,0.18769719559684944,steered,5.0
socioeco,high,"$100,000 or more",494,0.49748635924018225,0.405560241823722,0.34046431492355067,0.34510430256320207,0.32286778668113136,0.1695863935295131,steered,7.0
socioeco,high,"$100,000 or more",494,0.4603368865093572,0.38688217306753353,0.2979970464916189,0.333060803540493,0.3092644841472605,0.16067774541331287,steered,9.0
socioeco,high,"$100,000 or more",494,0.40847948574494014,0.3485372989349566,0.28028928765725214,0.2950368910198278,0.272029315577773,0.14924428332763687,steered,13.0
