attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
socioeco,declared,,Declared,high,486,-0.04967257287366928,0.019966882078733067,-0.029703949095091498,0.5740740740740741
socioeco,steered,0.0,Neutral (N=0),high,486,-0.037201915424987526,0.019252926276563973,-0.024003027510127894,0.5699588477366255
socioeco,steered,2.0,Steered N=2,high,486,-0.03675706117642088,0.01935861395089191,-0.023219233774740416,0.565843621399177
socioeco,steered,4.0,Steered N=4,high,486,-0.03747801301843727,0.01935608039650894,-0.023219233774740416,0.5637860082304527
socioeco,steered,6.0,Steered N=6,high,486,-0.03879241142597396,0.01937021336247041,-0.02094333227117884,0.5637860082304527
socioeco,steered,8.0,Steered N=8,high,486,-0.039054179951357716,0.0194319670801812,-0.024003027510127894,0.5699588477366255
socioeco,steered,10.0,Steered N=10,high,486,-0.03774559106700041,0.01949702155855817,-0.023219233774740528,0.5720164609053497
socioeco,steered,12.0,Steered N=12,high,486,-0.03861768033003968,0.01950620320942187,-0.024003027510127894,0.5720164609053497
socioeco,steered,14.0,Steered N=14,high,486,-0.038959358232182405,0.01979124917638476,-0.024003027510128006,0.5720164609053497
socioeco,steered,16.0,Steered N=16,high,486,-0.04011074996441731,0.02002803139428314,-0.02735570500000023,0.5781893004115226
socioeco,steered,18.0,Steered N=18,high,486,-0.04067751081159175,0.019971155672753007,-0.025125330010128025,0.5781893004115226
socioeco,steered,20.0,Steered N=20,high,486,-0.03934312751673048,0.01998805875080488,-0.016898155000000026,0.5617283950617284
